"Time (ms)","Recording (a.u.)"
7.146104019E0,-2.885484099E-1
7.166938142E0,-2.973023653E-1
7.187772264E0,-3.046103716E-1
7.208606387E0,-3.093200624E-1
7.229440509E0,-3.127418160E-1
7.250274632E0,-3.159882426E-1
7.271108754E0,-3.181268573E-1
7.291942877E0,-3.184233904E-1
7.312776999E0,-3.178650439E-1
7.333611122E0,-3.172762990E-1
7.354445244E0,-3.161605000E-1
7.375279367E0,-3.140863180E-1
7.396113489E0,-3.114798367E-1
7.416947612E0,-3.088585734E-1
7.437781734E0,-3.059164286E-1
7.458615857E0,-3.020766675E-1
7.479449979E0,-2.969997227E-1
7.500284102E0,-2.905162573E-1
7.521118224E0,-2.833763957E-1
7.541952347E0,-2.762994170E-1
7.562786469E0,-2.688765228E-1
7.583620592E0,-2.606042027E-1
7.604454714E0,-2.513260841E-1
7.625288837E0,-2.415452600E-1
7.646122959E0,-2.314430773E-1
7.666957082E0,-2.199168503E-1
7.687791204E0,-2.066576779E-1
7.708625327E0,-1.917588115E-1
7.729459449E0,-1.750542521E-1
7.750293572E0,-1.571851373E-1
7.771127694E0,-1.379201561E-1
7.791961817E0,-1.169021353E-1
7.812795939E0,-9.517091513E-2
7.833630062E0,-7.383872569E-2
7.854464184E0,-5.296063423E-2
7.875298307E0,-3.120364249E-2
7.896132429E0,-8.833984844E-3
7.916966552E0,1.236419380E-2
7.937800674E0,3.259615228E-2
7.958634797E0,5.262610316E-2
7.979468919E0,7.249456644E-2
8.000303042E0,9.127937257E-2
8.021137164E0,1.077963188E-1
8.041971287E0,1.223457605E-1
8.062805409E0,1.355154067E-1
8.083639532E0,1.484384239E-1
8.104473654E0,1.620499343E-1
8.125307777E0,1.760400981E-1
8.146141899E0,1.908339560E-1
8.166976022E0,2.060990334E-1
8.187810144E0,2.207095027E-1
8.208644267E0,2.343631685E-1
8.229478389E0,2.466937304E-1
8.250312512E0,2.579518557E-1
8.271146634E0,2.682602108E-1
8.291980757E0,2.774854898E-1
8.312814879E0,2.858912945E-1
8.333649002E0,2.933386564E-1
8.354483124E0,3.003998101E-1
8.375317247E0,3.072429299E-1
8.396151369E0,3.135115504E-1
8.416985492E0,3.192214966E-1
8.437819614E0,3.241859972E-1
8.458653737E0,3.305821121E-1
8.479487859E0,3.383396864E-1
8.500321982E0,3.419174552E-1
8.521156104E0,3.395880461E-1
8.541990227E0,3.347182870E-1
8.562824349E0,3.295068145E-1
8.583658472E0,3.228622675E-1
8.604492594E0,3.128477931E-1
8.625326717E0,3.012501001E-1
8.646160839E0,2.903742194E-1
8.666994962E0,2.797940373E-1
8.687829084E0,2.687779665E-1
8.708663207E0,2.562198043E-1
8.729497329E0,2.424975932E-1
8.750331452E0,2.295549959E-1
8.771165574E0,2.176840305E-1
8.791999697E0,2.060228437E-1
8.812833819E0,1.935480535E-1
8.833667942E0,1.810474992E-1
8.854502064E0,1.696790457E-1
8.875336187E0,1.582687497E-1
8.896170309E0,1.467818767E-1
8.917004432E0,1.357351840E-1
8.937838554E0,1.247055382E-1
8.958672677E0,1.145357341E-1
8.979506799E0,1.057236493E-1
9.000340922E0,9.730933607E-2
9.021175045E0,8.871746063E-2
9.042009167E0,8.088889718E-2
9.062843290E0,7.449942827E-2
9.083677412E0,6.869712472E-2
9.104511535E0,6.307878345E-2
9.125345657E0,5.753135681E-2
9.146179780E0,5.148822069E-2
9.167013902E0,4.464070126E-2
9.187848025E0,3.666592389E-2
9.208682147E0,2.820689045E-2
9.229516270E0,2.011215314E-2
9.250350392E0,1.133410633E-2
9.271184515E0,1.887463266E-3
9.292018637E0,-7.257689722E-3
9.312852760E0,-1.700513437E-2
9.333686882E0,-2.803856134E-2
9.354521005E0,-4.047535360E-2
9.375355127E0,-5.323421583E-2
9.396189250E0,-6.513608992E-2
9.417023372E0,-7.776808739E-2
9.437857495E0,-9.136934578E-2
9.458691617E0,-1.045483202E-1
9.479525740E0,-1.174872220E-1
9.500359862E0,-1.308911443E-1
9.521193985E0,-1.453058720E-1
9.542028107E0,-1.602679193E-1
9.562862230E0,-1.745883822E-1
9.583696352E0,-1.881304383E-1
9.604530475E0,-2.011316717E-1
9.625364597E0,-2.128569186E-1
9.646198720E0,-2.241111100E-1
9.667032842E0,-2.362412512E-1
9.687866965E0,-2.472922206E-1
9.708701087E0,-2.565472722E-1
9.729535210E0,-2.662852705E-1
9.750369332E0,-2.772056162E-1
9.771203455E0,-2.872225046E-1
9.792037577E0,-2.945957482E-1
9.812871700E0,-3.007045090E-1
9.833705822E0,-3.063538969E-1
9.854539945E0,-3.108875155E-1
9.875374067E0,-3.139062524E-1
9.896208190E0,-3.146771193E-1
9.917042312E0,-3.145963550E-1
9.937876435E0,-3.153008223E-1
9.958710557E0,-3.153827786E-1
9.979544680E0,-3.134732544E-1
