"Time (ms)","Recording (a.u.)"
5.397029830E0,6.022011489E-2
5.419706426E0,7.557417452E-2
5.442383022E0,9.063816071E-2
5.465059618E0,1.049511880E-1
5.487736213E0,1.182944104E-1
5.510412809E0,1.314214915E-1
5.533089405E0,1.440654099E-1
5.555766001E0,1.562269479E-1
5.578442597E0,1.678472161E-1
5.601119193E0,1.795523167E-1
5.623795789E0,1.911880970E-1
5.646472385E0,2.020765543E-1
5.669148981E0,2.126490772E-1
5.691825577E0,2.227311432E-1
5.714502173E0,2.319092453E-1
5.737178769E0,2.393323183E-1
5.759855365E0,2.456577569E-1
5.782531960E0,2.509660721E-1
5.805208556E0,2.550723553E-1
5.827885152E0,2.585285008E-1
5.850561748E0,2.610898018E-1
5.873238344E0,2.629746795E-1
5.895914940E0,2.648127079E-1
5.918591536E0,2.681422234E-1
5.941268132E0,2.722977996E-1
5.963944728E0,2.748509049E-1
5.986621324E0,2.743912637E-1
6.009297920E0,2.714010477E-1
6.031974516E0,2.673053145E-1
6.054651112E0,2.608359456E-1
6.077327707E0,2.518295348E-1
6.100004303E0,2.418383360E-1
6.122680899E0,2.311039269E-1
6.145357495E0,2.195621580E-1
6.168034091E0,2.075577974E-1
6.190710687E0,1.953774095E-1
6.213387283E0,1.824596077E-1
6.236063879E0,1.693582237E-1
6.258740475E0,1.566829085E-1
6.281417071E0,1.447364837E-1
6.304093667E0,1.338759959E-1
6.326770263E0,1.235388070E-1
6.349446859E0,1.133322492E-1
6.372123454E0,1.026808172E-1
6.394800050E0,9.138596058E-2
6.417476646E0,7.894802094E-2
6.440153242E0,6.562935561E-2
6.462829838E0,5.234242231E-2
6.485506434E0,3.805215657E-2
6.508183030E0,2.156343311E-2
6.530859626E0,3.589500207E-3
6.553536222E0,-1.364491135E-2
6.576212818E0,-3.056302480E-2
6.598889414E0,-4.829768091E-2
6.621566010E0,-6.607164443E-2
6.644242606E0,-8.374412358E-2
6.666919201E0,-1.006946117E-1
6.689595797E0,-1.170097440E-1
6.712272393E0,-1.327250004E-1
6.734948989E0,-1.479145437E-1
6.757625585E0,-1.629773080E-1
6.780302181E0,-1.773236990E-1
6.802978777E0,-1.910841763E-1
6.825655373E0,-2.038710713E-1
6.848331969E0,-2.156943381E-1
6.871008565E0,-2.273088694E-1
6.893685161E0,-2.383741736E-1
6.916361757E0,-2.482986301E-1
6.939038353E0,-2.577260137E-1
6.961714948E0,-2.667666674E-1
6.984391544E0,-2.754458785E-1
7.007068140E0,-2.836058140E-1
7.029744736E0,-2.899978161E-1
7.052421332E0,-2.953711152E-1
7.075097928E0,-3.000888228E-1
7.097774524E0,-3.036623001E-1
7.120451120E0,-3.062164485E-1
7.143127716E0,-3.085985780E-1
7.165804312E0,-3.102380633E-1
7.188480908E0,-3.097136617E-1
7.211157504E0,-3.083441257E-1
7.233834100E0,-3.074434996E-1
7.256510695E0,-3.068444729E-1
7.279187291E0,-3.050701320E-1
7.301863887E0,-3.014528155E-1
7.324540483E0,-2.968881130E-1
7.347217079E0,-2.924584150E-1
7.369893675E0,-2.878276706E-1
7.392570271E0,-2.820643783E-1
7.415246867E0,-2.755265832E-1
7.437923463E0,-2.682691514E-1
7.460600059E0,-2.600627542E-1
7.483276655E0,-2.504622638E-1
7.505953251E0,-2.396988571E-1
7.528629847E0,-2.276465148E-1
7.551306442E0,-2.142113745E-1
7.573983038E0,-2.006077766E-1
7.596659634E0,-1.872951239E-1
7.619336230E0,-1.743987799E-1
7.642012826E0,-1.614887863E-1
7.664689422E0,-1.483312249E-1
7.687366018E0,-1.356054544E-1
7.710042614E0,-1.234903783E-1
7.732719210E0,-1.117336527E-1
7.755395806E0,-9.995734692E-2
7.778072402E0,-8.803018928E-2
7.800748998E0,-7.535829395E-2
7.823425594E0,-6.213201210E-2
7.846102190E0,-4.923565313E-2
7.868778785E0,-3.695017472E-2
7.891455381E0,-2.489458583E-2
7.914131977E0,-1.187616400E-2
7.936808573E0,1.617300091E-3
7.959485169E0,1.549988799E-2
7.982161765E0,2.966853976E-2
8.004838361E0,4.424019903E-2
8.027514957E0,5.937352031E-2
8.050191553E0,7.388813049E-2
8.072868149E0,8.825727552E-2
8.095544745E0,1.023588628E-1
8.118221341E0,1.168221831E-1
8.140897937E0,1.313991100E-1
8.163574532E0,1.449446976E-1
8.186251128E0,1.576356292E-1
8.208927724E0,1.694612801E-1
8.231604320E0,1.808710694E-1
8.254280916E0,1.912060082E-1
8.276957512E0,2.000267655E-1
8.299634108E0,2.076942623E-1
8.322310704E0,2.158793658E-1
